what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.gmf.runtime.diagram.ui.resources.editor.ide,1.2.0.v20090403-1720,"org.eclipse.gmf.runtime.diagram.ui.resources.editor.ide",1523927062487
stopped,bundle,org.eclipse.uml2.diagram.common,0.9.0.v200906190654,"org.eclipse.uml2.diagram.common",1523927062487
stopped,bundle,org.eclipse.gmf.runtime.diagram.ui.resources.editor,1.3.0.v20100113-1121,"org.eclipse.gmf.runtime.diagram.ui.resources.editor",1523927062487
stopped,bundle,org.eclipse.uml2.diagram.parser,0.9.0.v200906190654,"org.eclipse.uml2.diagram.parser",1523927062487
stopped,bundle,org.eclipse.gmf.runtime.diagram.ui.properties,1.3.0.v20100113-1121,"org.eclipse.gmf.runtime.diagram.ui.properties",1523927062488
stopped,bundle,org.eclipse.gmf.runtime.emf.ui.properties,1.2.0.v20090501-1750,"org.eclipse.gmf.runtime.emf.ui.properties",1523927062488
stopped,bundle,org.eclipse.gmf.runtime.diagram.ui.dnd,1.2.0.v20090403-1720,"org.eclipse.gmf.runtime.diagram.ui.dnd",1523927062488
stopped,bundle,org.eclipse.emf.ecoretools.diagram.ui.outline,0.9.0.v200906221231,"org.eclipse.emf.ecoretools.diagram.ui.outline",1523927062489
stopped,bundle,org.eclipse.gmf.runtime.diagram.ui.actions,1.3.0.v20100209-2200,"org.eclipse.gmf.runtime.diagram.ui.actions",1523927062489
stopped,bundle,org.eclipse.gmf.runtime.diagram.ui,1.3.0.v20100209-2200,"org.eclipse.gmf.runtime.diagram.ui",1523927062489
stopped,bundle,org.eclipse.gmf.runtime.emf.ui,1.2.0.v20090403-1720,"org.eclipse.gmf.runtime.emf.ui",1523927062489
stopped,bundle,org.eclipse.gmf.runtime.common.ui.action,1.2.0.v20090403-1720,"org.eclipse.gmf.runtime.common.ui.action",1523927062489
stopped,bundle,org.eclipse.gmf.runtime.common.ui.services.dnd.ide,1.2.0.v20090403-1720,"org.eclipse.gmf.runtime.common.ui.services.dnd.ide",1523927062489
stopped,bundle,org.eclipse.gmf.runtime.common.ui.services.dnd,1.2.0.v20090403-1720,"org.eclipse.gmf.runtime.common.ui.services.dnd",1523927062489
stopped,bundle,org.eclipse.gmf.runtime.gef.ui,1.2.0.v20090520-1343,"org.eclipse.gmf.runtime.gef.ui",1523927062489
stopped,bundle,org.eclipse.gmf.runtime.emf.type.ui,1.2.0.v20090403-1720,"org.eclipse.gmf.runtime.emf.type.ui",1523927062489
stopped,bundle,org.eclipse.gmf.runtime.common.ui.services.action,1.3.0.v20091021-2333,"org.eclipse.gmf.runtime.common.ui.services.action",1523927062489
stopped,bundle,org.eclipse.gmf.runtime.common.ui.services,1.3.0.v20091126-1420,"org.eclipse.gmf.runtime.common.ui.services",1523927062489
stopped,bundle,org.eclipse.gmf.runtime.common.ui.services.properties,1.3.0.v20100113-1121,"org.eclipse.gmf.runtime.common.ui.services.properties",1523927062490
stopped,bundle,org.eclipse.gmf.runtime.draw2d.ui.render.awt,1.3.0.v20100113-1121,"org.eclipse.gmf.runtime.draw2d.ui.render.awt",1523927062490
stopped,bundle,org.eclipse.gmf.runtime.draw2d.ui.render,1.3.0.v20100113-1121,"org.eclipse.gmf.runtime.draw2d.ui.render",1523927062490
stopped,bundle,org.eclipse.gmf.runtime.draw2d.ui,1.3.0.v20100209-2200,"org.eclipse.gmf.runtime.draw2d.ui",1523927062490
stopped,bundle,org.eclipse.gmf.runtime.common.ui,1.2.1.v20090729-2029,"org.eclipse.gmf.runtime.common.ui",1523927062490
stopped,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1523927062490
stopped,bundle,org.eclipse.m2m.qvt.oml.emf.util.ui,2.0.0.v20090526-1940,"org.eclipse.m2m.qvt.oml.emf.util.ui",1523927062491
stopped,bundle,org.eclipse.xsd.editor,2.5.0.v200906151043,"org.eclipse.xsd.editor",1523927062491
stopped,bundle,org.eclipse.mylyn.commons.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.commons.ui",1523927062491
stopped,bundle,org.eclipse.mylyn.wikitext.ui,1.1.3.v20100217-0100-e3x,"org.eclipse.mylyn.wikitext.ui",1523927062491
stopped,bundle,org.eclipse.xtext.example.domainmodel.ui,0.7.2.v200908120607,"org.eclipse.xtext.example.domainmodel.ui",1523927062492
stopped,bundle,org.eclipse.xtext.example.ecoredsl.ui,0.7.2.v200908120607,"org.eclipse.xtext.example.ecoredsl.ui",1523927062492
stopped,bundle,org.eclipse.xtext.example.fowlerdsl.ui,0.7.2.v200908120607,"org.eclipse.xtext.example.fowlerdsl.ui",1523927062492
stopped,bundle,org.eclipse.xtext.reference.ui,0.7.2.v200908120607,"org.eclipse.xtext.reference.ui",1523927062492
stopped,bundle,org.eclipse.xtext.example.domainmodel,0.7.2.v200908120607,"org.eclipse.xtext.example.domainmodel",1523927062493
stopped,bundle,org.eclipse.xtext.example.ecoredsl,0.7.2.v200908120607,"org.eclipse.xtext.example.ecoredsl",1523927062493
stopped,bundle,org.eclipse.xtext.example.fowlerdsl,0.7.2.v200908120607,"org.eclipse.xtext.example.fowlerdsl",1523927062494
stopped,bundle,org.eclipse.xtext.reference,0.7.2.v200908120607,"org.eclipse.xtext.reference",1523927062494
stopped,bundle,org.eclipse.xtext.xtext.ui,0.7.2.v200908120607,"org.eclipse.xtext.xtext.ui",1523927062495
stopped,bundle,org.pnml.tools.epnk.pntypes.hlpng.pntd.edit,0.9.0.201101281532,"org.pnml.tools.epnk.pntypes.hlpng.pntd.edit",1523927062495
stopped,bundle,org.pnml.tools.epnk.pntypes.hlpng.pntd,0.9.0.201101281532,"org.pnml.tools.epnk.pntypes.hlpng.pntd",1523927062495
stopped,bundle,org.pnml.tools.epnk.pntypes.hlpngs.datatypes.concretesyntax.edit,0.9.0.201101281532,"org.pnml.tools.epnk.pntypes.hlpngs.datatypes.concretesyntax.edit",1523927062496
stopped,bundle,org.pnml.tools.epnk.pntypes.hlpngs.datatypes.concretesyntax.generator,0.9.0.201101281532,"org.pnml.tools.epnk.pntypes.hlpngs.datatypes.concretesyntax.generator",1523927062496
stopped,bundle,org.pnml.tools.epnk.pntypes.hlpngs.datatypes.concretesyntax.ui,0.9.0.201101281532,"org.pnml.tools.epnk.pntypes.hlpngs.datatypes.concretesyntax.ui",1523927062496
stopped,bundle,org.pnml.tools.epnk.pntypes.hlpngs.datatypes.concretesyntax,0.9.0.201101281532,"org.pnml.tools.epnk.pntypes.hlpngs.datatypes.concretesyntax",1523927062497
stopped,bundle,org.eclipse.xtext.xtend,0.7.2.v200908120607,"org.eclipse.xtext.xtend",1523927062497
stopped,bundle,org.eclipse.xtext.ui.common,0.7.2.v200908120607,"org.eclipse.xtext.ui.common",1523927062498
stopped,bundle,org.eclipse.xtext.ui.core,0.7.2.v200908120607,"org.eclipse.xtext.ui.core",1523927062499
stopped,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1523927062499
stopped,bundle,org.eclipse.sdk,3.5.0.v200906111540,"org.eclipse.sdk",1523927062499
stopped,bundle,org.eclipse.emf.ecoretools,0.8.0.v200906221231,"org.eclipse.emf.ecoretools",1523927062499
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.resources",1523927062499
stopped,bundle,org.eclipse.wst.common.snippets,1.1.301.v201001280015,"org.eclipse.wst.common.snippets",1523927062500
stopped,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1523927062500
stopped,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1523927062500
