what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.m2m.atl.adt.ui,3.0.2.v201001190421,"org.eclipse.m2m.atl.adt.ui",1523926968224
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1523926968225
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1523926968226
started,bundle,org.eclipse.mylyn.commons.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.commons.ui",1523926968226
started,bundle,org.eclipse.mylyn.context.core,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.core",1523926968227
started,bundle,org.eclipse.mylyn.context.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.ui",1523926968227
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.monitor.ui",1523926968228
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.ui",1523926968229
started,bundle,org.eclipse.mylyn.team.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.team.ui",1523926968229
started,bundle,org.eclipse.uml2.diagram.common,0.9.0.v200906190654,"org.eclipse.uml2.diagram.common",1523926968230
started,bundle,org.eclipse.uml2.uml,3.0.1.v200908281330,"org.eclipse.uml2.uml",1523926968231
started,bundle,org.eclipse.xtend.typesystem.emf.ui,0.7.2.v200908120436,"org.eclipse.xtend.typesystem.emf.ui",1523926968231
os,sysinfo,,,"win32",1523926968233
arch,sysinfo,,,"x86",1523926968233
ws,sysinfo,,,"win32",1523926968233
locale,sysinfo,,,"es_AR",1523926968233
processors,sysinfo,,,"4",1523926968233
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1523926968233
java.runtime.version,sysinfo,,,"1.6.0_32-b05",1523926968233
java.specification.name,sysinfo,,,"Java Platform API Specification",1523926968233
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1523926968233
java.specification.version,sysinfo,,,"1.6",1523926968233
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1523926968233
java.version,sysinfo,,,"1.6.0_32",1523926968233
java.vm.info,sysinfo,,,"mixed mode, sharing",1523926968233
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1523926968233
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1523926968233
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1523926968233
java.vm.specification.version,sysinfo,,,"1.0",1523926968233
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1523926968233
java.vm.version,sysinfo,,,"20.7-b02",1523926968233
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1523926972190
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1523926977198
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.import",1523926977206
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1523926978468
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1523926978489
closed,view,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.internal.introview",1523926978517
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1523926981520
started,bundle,org.eclipse.debug.core,3.5.0.v20090526-1600,"org.eclipse.debug.core",1523926995591
